"nama_bank","sandi_bank"
"BANK BRI",002
"BANK BRI SYARIAH",422
"BANK EKSPOR INDONESIA",003
"BANK MANDIRI",008
"BANK BNI",009
"BANK DANAMON",011
"BANK PERMATA",013
"BANK BCA",014
"BANK PANIN",019
"BANK ARTA NIAGA KENCANA",020
"BANK CIMB NIAGA",022
"BANK UOB INDONESIA",023
"BANK LIPPO",026
"AMERICAN EXPRESS BANK LTD",030
"CITIBANK",031
"JP. MORGAN CHASE BANK, N.A.",032
"BANK OF AMERICA, N.A",033
"ING INDONESIA BANK",034
"BANK CCB INDONESIA.",036
"BANK ARTHA GRAHA INTERNASIONAL",037
"BANK CREDIT AGRICOLE INDOSUEZ",039
"THE BANGKOK BANK COMP. LTD",040
"THE HONGKONG & SHANGHAI B.C.",041
"MUFG BANK",042
"BANK SUMITOMO MITSUI INDONESIA",045
"BANK DBS INDONESIA",046
"BANK RESONA PERDANIA",047
"BANK MIZUHO INDONESIA",048
"STANDARD CHARTERED BANK",050
"BANK ABN AMRO",052
"BANK KEPPEL TATLEE BUANA",053
"BANK CAPITAL INDONESIA",054
"BANK BNP PARIBAS INDONESIA",057
"BANK UOB INDONESIA",058
"KOREA EXCHANGE BANK DANAMON",059
"RABOBANK INTERNASIONAL INDONESIA",060
"BANK ANZ INDONESIA",061
"DEUTSCHE BANK AG.",067
"BANK WOORI INDONESIA",068
"BANK OF CHINA",069
"BANK BUMI ARTA",076
"BANK HSBC INDONESIA",087
"BANK ANTARDAERAH",088
"BANK HAGA",089
"BANK IFI",093
"BANK J TRUST INDONESIA",095
"BANK MAYAPADA",097
"BANK JABAR BJB (JAWA BARAT)",110
"BANK DKI JAKARTA",111
"BPD DIY (YOGYAKARTA)",112
"BANK JATENG (JAWA TENGAH)",113
"BANK JATIM (JAWA TIMUR)",114
"BANK JAMBI",115
"BANK ACEH",116
"BANK SUMUT",117
"BANK NAGARI (BANK SUMBAR)",118
"BANK RIAU KEPRI",119
"BANK SUMSEL BABEL (SUMATERA SELATAN BANGKA BELITUNG)",120
"BANK LAMPUNG",121
"BANK KALSEL (BANK KALIMANTAN SELATAN)",122
"BANK KALBAR (BANK KALIMANTAN BARAT)",123
"BANK KALTIMTARA (BANK KALIMANTAN TIMUR DAN UTARA)",124
"BPD KALTENG (BANK KALIMANTAN TENGAH)",125
"BPD SULSELBAR (BANK SULAWESI SELATAN DAN BARAT)",126
"BANK SULUTGO (BANK SULAWESI UTARA DAN GORONTALO)	",127
"BPD NTB",128
"BANK BPD BALI",129
"BANK NTT",130
"BANK MALUKU MALUT",131
"BPD PAPUA",132
"BANK BENGKULU",133
"BANK SULTENG (BANK SULAWESI TENGAH)",134
"BANK SULTRA (BANK SULAWESI TENGGARA)",135
"BANK NUSANTARA PARAHYANGAN",145
"BANK SWADESI (BANK OF INDIA INDONESIA)",146
"BANK MUAMALAT",147
"BANK MESTIKA",151
"BANK SHINHAN INDONESIA (BANK METRO EXPRESS)",152
"BANK MASPION INDONESIA",157
"BANK HAGAKITA",159
"BANK GANESHA",161
"BANK WINDU KENTJANA",162
"BANK ICBC INDONESIA (HALIM INDONESIA BANK)",164
"BANK HARMONI INTERNATIONAL",166
"BANK QNB INDONESIA",167
"BANK BTN",200
"BANK WOORI SAUDARA",212
"BANK BTPN",213
"BANK VICTORIA SYARIAH",405
"BANK MEGA",426
"BANK BUKOPIN",441
"BANK SYARIAH MANDIRI",451
"BANK BISNIS INTERNASIONAL",459
"BANK SRI PARTHA",466
"BANK JASA JAKARTA",472
"BANK HANA (KEB HANA BANK)",484
"BANK MNC",485
"BANK YUDHA BHAKTI",490
"BANK MITRANIAGA",491
"BANK BRI AGRO",494
"BANK SBI INDONESIA (BANK INDOMONEX)",498
"BANK BLUE/BCA DIGITAL",501
"BANK NATIONAL NOBU (BANK ALFINDO)",503
"BANK MEGA SYARIAH",506
"BANK INA PERDANA",513
"BANK PANIN DUBAI SYARIAH",517
"PRIMA MASTER BANK",520
"BANK AKITA",525
"BANK DINAR INDONESIA",526
"ANGLOMAS INTERNASIONAL BANK",531
"BANK SAHABAT SAMPEORNA (BANK DIPO INTERNATIONAL)",523
"BANK KESEJAHTERAAN EKONOMI",535
"BANK JAGO",542
"BANK MULTIARTA SENTOSA",548
"BANK MAYORA INDONESIA",553
"BANK INDEX SELINDO",555
"BANK VICTORIA INTERNATIONAL",566
"BANK EKSEKUTIF",558
"CENTRATAMA NASIONAL BANK",559
"BANK FAMA INTERNASIONAL",562
"BANK MANDIRI TASPEN POS (BANK SINAR HARAPAN BALI)",564
"BANK HARDA INTERNASIONAL",567
"IBK BANK INDONESIA",945
"BANK MERINCORP",946
"BANK MAYBANK INDOCORP",947
"BANK OCBC – INDONESIA",948
"BANK CTBC INDONESIA (CHINA TRUST)",949
"BANK COMMONWEALTH",950
"BANK BJB SYARIAH (JAWA BARAT)",425
"BPR KS (KARYAJATNIKA SEDAYA)",688
"INDOSAT DOMPETKU",789
"TELKOMSEL TCASH",911
"LINKAJA",911
"BANK BNI SYARIAH",427
"BANK CIMB NIAGA SYARIAH", 022
"BANK BTPN SYARIAH",547
"JENIUS", 213
"BANK PERMATA SYARIAH",013
"DIGIBANK",046
"BANK MAYBANK (BII)",016
"BANK SINARMAS", 153
"BANK OCBC NISP",028
"BANK BUKOPIN SYARIAH",521
"BANK PERSYARIKATAN INDONESIA",521
"BANK BCA SYARIAH", 536
"BANK BANTEN", 137
"BANK ACEH SYARIAH", 116
"BANK NTB SYARIAH", 128










